ID;SKU;VARIANT_ID;CATEGORIES;NAME;PRICE;PROMOTIONAL_PRICE;STOCK;PUBLISHED;CANONICAL_URL;UPDATED_AT
126438339;2693;493387468;5653700;Visor De Casco Hawk RS9 Transparente;14453.00;;1;true;https://www.mvurbano.com.ar/productos/visor-de-casco-hawk-rs9-transparente/;2024-04-11T15:52:05-03:00
126445290;20925;493410290;5653700;Kidzamo KZ190 Casco Infantiles Bicicleta 50-54 Protecciones;36001.00;;1;true;https://www.mvurbano.com.ar/productos/kidzamo-kz190-casco-infantiles-bicicleta-50-54-protecciones/;2024-04-11T15:52:05-03:00
127316419;20940;510667231;11163785;Botas Moto Trends Para Moto;49800.00;;;true;https://www.mvurbano.com.ar/productos/botas-moto-trends-para-moto/;2024-04-11T15:52:05-03:00
127996459;20867;500156226;11163785;Chaleco Rompeviento Ciclismo Ultraligero Azul;43538.00;;1;true;https://www.mvurbano.com.ar/productos/chaleco-rompeviento-ciclismo-ultraligero-azul/;2024-04-30T16:19:31-03:00
127996547;20866;500157214;11163785;Chaleco Rompeviento Ciclismo Ultraligero Gris;43538.00;;1;true;https://www.mvurbano.com.ar/productos/chaleco-rompeviento-ciclismo-ultraligero-gris/;2024-04-12T08:50:05-03:00
128759194;19828;503472124;24498021;Bicicleta Sbk Metro Rodado 20;324086.00;;1;true;https://www.mvurbano.com.ar/productos/bicicleta-sbk-metro-rodado-20/;2024-04-11T15:52:05-03:00
130735926;18312;512187513;5653700;Caja Para Delivery Super;27949.00;;1;true;https://www.mvurbano.com.ar/productos/caja-para-delivery-super-color-negra-c-1-estante-41x41x41/;2024-04-11T15:52:05-03:00
130806359;18433;512512522;5653700;Baul Porta Objetos Modelo Vam30;49021.00;;;true;https://www.mvurbano.com.ar/productos/baul-porta-objetos-mod-vam30/;2024-04-11T15:52:05-03:00
130806428;16276;512512827;5653700;Baul Porta Objetos Modelo Vam30 (Negro);41735.00;;1;true;https://www.mvurbano.com.ar/productos/baul-porta-objetos-mod-vam30-negro/;2024-04-11T15:52:05-03:00
130806629;18299;512513530;5653700;Baul Para Dos Cascos Elegant45;47123.00;;;true;https://www.mvurbano.com.ar/productos/baul-para-dos-cascos-mod-elegant45/;2024-04-11T15:52:05-03:00
130806772;26;512513962;5653700;Baul Para Dos Cascos Vam45 Negro;62652.00;;;true;https://www.mvurbano.com.ar/productos/baul-para-dos-cascos-vam45-negro/;2024-04-11T15:52:05-03:00
130806952;18314;512514768;5653700;Baul Para Dos Cascos Mod. Vam45 Blanco;56931.00;;1;true;https://www.mvurbano.com.ar/productos/baul-para-dos-cascos-mod-vam45-blanco/;2024-04-11T15:52:07-03:00
130807289;18432;512515885;5653700;Baul Porta Objetos 36 Litros Para Moto Universal Con Soporte;30996.00;;;true;https://www.mvurbano.com.ar/productos/baul-porta-objetos-36-litros-para-moto-universal-con-soporte/;2024-04-11T15:52:05-03:00
130942735;19554;513014741;11163785;Traje De Lluvia Para Mujer Proter;72853.00;;1;true;https://www.mvurbano.com.ar/productos/traje-de-lluvia-para-mujer-proter/;2024-04-30T16:19:07-03:00
131576065;5556;515691411;5653700;Antiparras Enduro Motocross;15429.00;;;true;https://www.mvurbano.com.ar/productos/antiparras-enduro-motocross/;2024-04-12T08:49:54-03:00
131578258;13044;515698375;5653700;Sunchos Lingas Para Moto Cuatri Trailer Pro Mx;42431.00;;4;true;https://www.mvurbano.com.ar/productos/sunchos-lingas-para-moto-cuatri-trailer-pro-mx/;2024-04-11T15:52:05-03:00
131587797;38958;515729348;11163785;Campera Stav All Seasons Protection;229545.00;;1;true;https://www.mvurbano.com.ar/productos/campera-stav-all-seasons-protection/;2024-04-30T16:20:48-03:00
131591785;21008;515744653;11163785;Campera Moto Stav Core Protection Abrassion Control;147324.00;;1;true;https://www.mvurbano.com.ar/productos/campera-moto-stav-core-protection-abrassion-control/;2024-04-30T16:19:49-03:00
131594576;38972;515756244;11163785;Campera Stav Base Prot. Abrasion Control;117222.00;;1;true;https://www.mvurbano.com.ar/productos/campera-stav-base-prot-abrasion-control/;2024-04-12T08:49:41-03:00
131596833;39100;515762755;11163785;Pantalón Stav Core Protection;175293.00;;1;true;https://www.mvurbano.com.ar/productos/pantalon-stav-core-protection/;2024-04-30T16:20:57-03:00
131696213;29908;516164596;5653700;Pechera Pro Tork Motocross Enduro;86124.00;;;true;https://www.mvurbano.com.ar/productos/pechera-pro-tork-motocross-enduro/;2024-04-30T16:20:44-03:00
133099687;17891;520790533;5664404;Casco Moto Mt Stinger Hummer Solid A1 Integral Negro Mate;147320.00;;1;true;https://www.mvurbano.com.ar/productos/casco-moto-mt-stinger-hummer-solid-a1-integral-negro-mate/;2024-04-30T16:19:54-03:00
133100016;21063;560423220;5664404;Casco Integral Moto Mt Stinger Hummer Stark Lycan Talle XL;147324.00;;1;true;https://www.mvurbano.com.ar/productos/casco-integral-moto-mt-stinger-hummer-stark-lycan-talle-xl/;2024-04-30T16:19:54-03:00
133100465;21011;520795513;5664404;Casco Moto Mt Stinger Hummer Quality A5 Integral Rojo Brillo;147324.00;;;true;https://www.mvurbano.com.ar/productos/casco-moto-mt-stinger-hummer-quality-a5-integral-rojo-brillo/;2024-04-30T16:19:51-03:00
142291421;20126;551433453;5664404;Casco Moto HJC CS-15 Negro Solido Brillo Integral;219706.00;;1;true;https://www.mvurbano.com.ar/productos/casco-moto-hjc-cs-15-negro-solido-brillo-integral/;2024-04-12T08:49:14-03:00
142431853;21184;552026962;11163785;Guantes Ciclismo Gym Cross Roads Medio Dedo;21447.00;;1;true;https://www.mvurbano.com.ar/productos/guantes-ciclismo-gym-cross-roads-medio-dedo/;2024-04-30T16:20:02-03:00
145454404;21243;560435187;5664404;Casco Rebatible LS2 Easy 370 Rebatible Negro Brillante;259308.00;;1;true;https://www.mvurbano.com.ar/productos/casco-rebatible-ls2-easy-370-rebatible-negro-brillante/;2024-04-30T16:20:05-03:00
145454742;21251;560435933;5664404;Casco Integral LS2 352 Rookie Chaser Negro;136671.00;;1;true;https://www.mvurbano.com.ar/productos/casco-integral-ls2-352-rookie-chaser-negro/;2024-04-30T16:20:07-03:00
150384212;21291;573501567;5664404;Casco LS2 Abierto 562 Airflow Metropolis;164808.00;;1;true;https://www.mvurbano.com.ar/productos/casco-ls2-abierto-562-airflow-metropolis/;2024-04-30T16:20:14-03:00
150391757;20221;573512662;5664404;Casco Moto LS2 562 Airflow Condor Blanco Negro Rojo;164808.00;;1;true;https://www.mvurbano.com.ar/productos/casco-moto-ls2-562-airflow-condor-blanco-negro-rojo/;2024-04-30T16:19:14-03:00
150411443;21295;573551916;5664404;Casco Abierto LS2 599 Spitfire Mono Mat Black;209715.00;;1;true;https://www.mvurbano.com.ar/productos/casco-abierto-ls2-599-spitfire-mono-mat-black/;2024-04-30T16:20:16-03:00
150419368;21301;573568833;5664404;Casco LS2 320 Integral Doble Visor Negro Mate;204965.00;;1;true;https://www.mvurbano.com.ar/productos/casco-ls2-320-integral-doble-visor-negro-mate/;2024-04-30T16:20:20-03:00
150420543;21244;573571156;5664404;Casco LS2 370 Rebatible Doble Visor Negro Y Rojo Mate;247198.00;;1;true;https://www.mvurbano.com.ar/productos/casco-ls2-370-rebatible-doble-visor-negro-y-rojo-mate/;2024-04-30T16:20:03-03:00
150637576;21908;574010523;5664404;Casco Integral Doble Visor Nolan N60-6 Anchor Con Pinlock;341882.00;;1;true;https://www.mvurbano.com.ar/productos/casco-integral-doble-visor-nolan-n60-6-anchor-con-pinlock/;2024-04-12T08:48:10-03:00
150642003;21902;574020587;5664404;Casco Integral Doble Visor Nolan N60-6 Downshift Con Pinlock;341882.00;;1;true;https://www.mvurbano.com.ar/productos/casco-integral-doble-visor-nolan-n60-6-downshift-con-pinlock/;2024-04-12T08:48:00-03:00
150644533;21891;574024726;5664404;Casco Integral Doble Visor Nolan N60-6 Negro Mate;324671.00;;1;true;https://www.mvurbano.com.ar/productos/casco-integral-doble-visor-nolan-n60-6-negro-mate/;2024-04-30T16:20:37-03:00
